Store,Date,Sales,Open
1,2015-07-31,5263,1
2,2015-07-31,6064,1
3,2015-07-31,8314,1
4,2015-07-31,13995,1
5,2015-07-31,4822,1
6,2015-07-31,5651,1
7,2015-07-31,15344,1
8,2015-07-31,8492,1
9,2015-07-31,8565,1
10,2015-07-31,7185,1
11,2015-07-31,10457,1
12,2015-07-31,8959,1
13,2015-07-31,8821,1
14,2015-07-31,6544,1
15,2015-07-31,9191,1
16,2015-07-31,10231,1
17,2015-07-31,8430,1
18,2015-07-31,10071,1
19,2015-07-31,8234,1
20,2015-07-31,9593,1
21,2015-07-31,9515,1
22,2015-07-31,6566,1
23,2015-07-31,7273,1
24,2015-07-31,14190,1
25,2015-07-31,14180,1
26,2015-07-31,7818,1
27,2015-07-31,13213,1
28,2015-07-31,7301,1
29,2015-07-31,9411,1
30,2015-07-31,4776,1
31,2015-07-31,7248,1
32,2015-07-31,6395,1
33,2015-07-31,10789,1
34,2015-07-31,11144,1
35,2015-07-31,12412,1
36,2015-07-31,12422,1
37,2015-07-31,9091,1
38,2015-07-31,7434,1
39,2015-07-31,8336,1
40,2015-07-31,5464,1
41,2015-07-31,6938,1
42,2015-07-31,11946,1
43,2015-07-31,8096,1
44,2015-07-31,6670,1
45,2015-07-31,6301,1
46,2015-07-31,7628,1
47,2015-07-31,9379,1
48,2015-07-31,3874,1
49,2015-07-31,10310,1
50,2015-07-31,5729,1
1,2015-07-30,5020,1
2,2015-07-30,5567,1
3,2015-07-30,8977,1
4,2015-07-30,10387,1
5,2015-07-30,4943,1
6,2015-07-30,4790,1
7,2015-07-30,11560,1
8,2015-07-30,8420,1
9,2015-07-30,7539,1
10,2015-07-30,6186,1
11,2015-07-30,7361,1
12,2015-07-30,7996,1
13,2015-07-30,7648,1
14,2015-07-30,5672,1
15,2015-07-30,8891,1
16,2015-07-30,10226,1
17,2015-07-30,7555,1
18,2015-07-30,7361,1
19,2015-07-30,8400,1
20,2015-07-30,12379,1
21,2015-07-30,6985,1
22,2015-07-30,5685,1
23,2015-07-30,5801,1
24,2015-07-30,11439,1
25,2015-07-30,11272,1
26,2015-07-30,7892,1
27,2015-07-30,10270,1
28,2015-07-30,6210,1
29,2015-07-30,8039,1
30,2015-07-30,4881,1
31,2015-07-30,6712,1
32,2015-07-30,5779,1
33,2015-07-30,8146,1
34,2015-07-30,8443,1
35,2015-07-30,11088,1
36,2015-07-30,11955,1
37,2015-07-30,7771,1
38,2015-07-30,6591,1
39,2015-07-30,5734,1
40,2015-07-30,5191,1
41,2015-07-30,6311,1
42,2015-07-30,10853,1
43,2015-07-30,5982,1
44,2015-07-30,5159,1
45,2015-07-30,6063,1
46,2015-07-30,7057,1
47,2015-07-30,7585,1
48,2015-07-30,3297,1
